Month,Pho,Ramen,Soba
2004-01,5,44,10
2004-02,5,39,10
2004-03,4,31,9
2004-04,5,31,10
2004-05,5,35,12
2004-06,5,31,12
2004-07,5,32,12
2004-08,5,37,12
2004-09,6,37,12
2004-10,6,32,12
2004-11,5,31,11
2004-12,5,31,10
2005-01,6,32,9
2005-02,5,29,9
2005-03,5,27,9
2005-04,5,27,9
2005-05,6,30,11
2005-06,6,29,11
2005-07,6,32,11
2005-08,6,33,12
2005-09,6,30,10
2005-10,7,28,11
2005-11,7,29,10
2005-12,7,26,10
2006-01,7,30,8
2006-02,6,27,8
2006-03,6,24,8
2006-04,6,27,9
2006-05,6,28,10
2006-06,6,25,9
2006-07,6,26,10
2006-08,6,28,11
2006-09,6,27,10
2006-10,7,25,10
2006-11,6,24,9
2006-12,7,24,10
2007-01,7,26,8
2007-02,6,26,8
2007-03,6,25,8
2007-04,6,24,8
2007-05,6,26,10
2007-06,7,26,9
2007-07,7,26,10
2007-08,7,28,11
2007-09,8,28,10
2007-10,8,25,10
2007-11,8,24,9
2007-12,8,23,11
2008-01,8,26,8
2008-02,7,24,8
2008-03,7,24,8
2008-04,7,24,9
2008-05,8,26,10
2008-06,7,25,10
2008-07,8,25,10
2008-08,8,26,10
2008-09,8,27,10
2008-10,8,25,9
2008-11,9,26,9
2008-12,9,24,9
2009-01,8,26,8
2009-02,9,24,8
2009-03,9,24,8
2009-04,9,24,8
2009-05,9,27,9
2009-06,9,26,9
2009-07,10,27,9
2009-08,10,28,10
2009-09,10,28,9
2009-10,10,28,9
2009-11,10,25,8
2009-12,11,26,9
2010-01,12,27,8
2010-02,11,27,8
2010-03,12,25,7
2010-04,12,25,8
2010-05,11,28,9
2010-06,11,25,8
2010-07,13,29,9
2010-08,13,31,10
2010-09,14,31,9
2010-10,15,30,9
2010-11,14,30,8
2010-12,15,28,9
2011-01,15,29,8
2011-02,15,30,8
2011-03,15,25,6
2011-04,16,29,8
2011-05,16,31,10
2011-06,17,31,10
2011-07,17,31,10
2011-08,17,35,11
2011-09,17,35,10
2011-10,17,35,10
2011-11,17,37,10
2011-12,18,35,11
2012-01,17,37,10
2012-02,18,37,9
2012-03,17,36,9
2012-04,17,38,11
2012-05,17,39,12
2012-06,17,40,11
2012-07,17,41,12
2012-08,18,46,13
2012-09,19,46,13
2012-10,18,46,12
2012-11,18,45,12
2012-12,19,44,13
2013-01,21,46,11
2013-02,18,47,12
2013-03,20,46,11
2013-04,19,46,12
2013-05,19,49,14
2013-06,19,47,14
2013-07,19,51,15
2013-08,20,61,16
2013-09,20,55,14
2013-10,21,53,13
2013-11,21,53,14
2013-12,22,50,15
2014-01,23,52,12
2014-02,21,50,12
2014-03,21,51,13
2014-04,24,52,14
2014-05,23,54,16
2014-06,22,49,14
2014-07,23,52,14
2014-08,24,58,16
2014-09,22,55,14
2014-10,23,54,14
2014-11,23,55,14
2014-12,24,53,15
2015-01,23,56,13
2015-02,20,57,14
2015-03,22,56,14
2015-04,22,57,15
2015-05,21,60,18
2015-06,21,60,17
2015-07,23,64,16
2015-08,24,69,20
2015-09,23,68,16
2015-10,24,67,16
2015-11,24,67,16
2015-12,24,67,18
2016-01,24,67,15
2016-02,22,67,15
2016-03,23,66,16
2016-04,23,67,17
2016-05,23,70,21
2016-06,22,66,18
2016-07,23,68,19
2016-08,23,67,18
2016-09,27,71,17
2016-10,27,71,18
2016-11,25,69,17
2016-12,28,72,21
2017-01,26,76,17
2017-02,26,74,16
2017-03,25,75,17
2017-04,24,75,18
2017-05,23,78,22
2017-06,23,77,21
2017-07,25,78,21
2017-08,24,85,23
2017-09,25,84,20
2017-10,26,80,19
2017-11,26,80,19
2017-12,28,79,21
2018-01,27,86,18
2018-02,25,85,16
2018-03,26,83,18
2018-04,25,82,19
2018-05,24,83,23
2018-06,23,83,20
2018-07,25,82,22
2018-08,25,91,24
2018-09,26,90,20
2018-10,26,87,20
2018-11,27,87,21
2018-12,28,88,23
2019-01,28,93,19
2019-02,27,94,20
2019-03,27,92,19
2019-04,25,92,21
2019-05,25,100,26
